[[177147,x^4+2*x^3+2*x^2+x],
[510714801,3*x^4+4*x^3+3*x^2+x],
[510714801,3*x^4+4*x^3-x^2-3*x-1],
[510714801,3*x^4+5*x^3+4*x^2+x],
[510714801,3*x^4+x^3-2*x^2-x],
[535869675,x^4+2*x^3+8*x^2+7*x+12],
[535869675,x^4+6*x^3-4*x^2-11*x-4],
[544195584,3*x^4+5*x^3+3*x^2+x],
[544195584,3*x^4+5*x^3-5*x^2+x],
[548132184,2*x^4+3*x^3-2*x-1],
[548132184,2*x^4+7*x^3-12*x^2+6*x-1],
[548132184,2*x^4+x^3-2*x^2+1],
[548132184,2*x^4+x^3+4*x^2+4*x+1],
[562166163,x^4+4*x^3+x^2-x],
[562166163,x^4+x^3-4*x^2+x],
[566870400,2*x^4+4*x^3-5*x^2-5*x-1],
[566870400,2*x^4+4*x^3+7*x^2+5*x+3],
[566870400,2*x^4+4*x^3-x^2-3*x+1],
[566870400,2*x^4+x^3+4*x^2+x+2],
[602791875,x^4+2*x^3+3*x^2-x],
[602791875,x^4+3*x^3-2*x^2+x],
[609700608,x^4-2*x+1],
[609700608,x^4-2*x^2-2*x-1],
[609700608,x^4+2*x^3+1],
[609700608,x^4+2*x^3+2*x^2-1],
[609700608,x^4+3*x^3-x^2+x],
[609700608,x^4+4*x^3-6*x^2+2*x],
[609700608,x^4+x^3+3*x^2-x],
[612220032,6*x^4+12*x^3+11*x^2+5*x+1],
[612220032,6*x^4+12*x^3+7*x^2+x],
[612220032,6*x^4+3*x^3-2*x^2-x],
[612220032,6*x^4+4*x^3-5*x^2+x],
[666387648,4*x^4+47*x^3-40*x^2+11*x-1],
[666387648,4*x^4+x^3-3*x^2-4*x+3],
[703096443,x^4+2*x^3-6*x^2+3*x],
[703096443,x^4+2*x^3-x+1],
[703096443,x^4+x^3-2*x+1],
[703096443,x^4+x^3+3*x^2+x+1],
[718508232,6*x^4+x^3-3*x^2-x],
[725594112,x^4+4*x^3-x^2-10*x+6],
[725594112,x^4+6*x^3+5*x^2-8*x+2],
[725594112,x^4+7*x^2+12],
[728113536,2*x^4+11*x^3+9*x^2+2*x],
[728113536,2*x^4+3*x^3-x^2-2*x],
[728113536,2*x^4+x^3-3*x^2-2*x],
[779466483,x^4+x^3+4*x^2+x],
[816293376,2*x^4+2*x^3+x^2+x],
[876306843,x^4+10*x^3+6*x^2+x],
[876306843,x^4+2*x^3-2*x^2-5*x+4],
[909512064,2*x^4+10*x^3+6*x^2+x],
[909512064,2*x^4+2*x^3-x],
[909512064,2*x^4+4*x^3+2*x^2+x],
[918330048,x^4+x^3+3*x^2+2*x+2],
[961337403,x^4+6*x^3+6*x^2-9*x+2],
[984150000,5*x^4+3*x^3-10*x^2-11*x-3],
[987614208,x^4+x^3+4*x^2+2*x+4],
[1032196203,x^4+16*x^3+8*x^2+x],
[1032196203,x^4+2*x^2-x+1],
[1032196203,x^4+2*x^3+2*x^2-7*x+3],
[1032196203,x^4+2*x^3-4*x^2-3*x+4],
[1032196203,x^4+2*x^3-4*x^2-x+2],
[1032196203,x^4+3*x^3+5*x^2-5*x+1],
[1032196203,x^4+3*x^3-x^2-5*x+3],
[1032196203,x^4-4*x^2-x],
[1032196203,x^4+4*x^3-x],
[1032196203,x^4+8*x^3-6*x^2+x],
[1032196203,x^4+8*x^3+6*x^2+x],
[1032196203,x^4-x+1],
[1032196203,x^4+x^3+1],
[1032196203,x^4+x^3+2*x^2+1],
[1032196203,x^4+x^3+3*x^2+3*x+1],
[1032196203,x^4+x^3+8*x^2+4*x+15],
[1033121304,2*x^4+19*x^3+21*x^2+8*x+1],
[1033121304,2*x^4+5*x^3-3*x^2-2*x+1],
[1050304563,x^4+5*x^3-4*x^2+x],
[1050304563,x^4-x^2-3*x+3],
[1076168025,3*x^4+6*x^3+8*x^2+5*x+2],
[1084769496,2*x^4+13*x^3+7*x^2+x],
[1084769496,2*x^4+3*x^3+2*x^2+2*x+1],
[1084769496,2*x^4+x^3+x^2+x],
[1085025375,5*x^4+26*x^3+10*x^2+x],
[1096264368,x^4+7*x^3+7*x^2+2*x],
[1096264368,x^4+x^3+2*x^2+3*x+1],
[1096264368,x^4+x^3-x^2-2*x],
[1133740800,x^4+2*x^3+x^2-1],
[1133740800,x^4-x^2-2*x-1],
[1137677400,2*x^4+3*x^3-3*x^2-3*x+2],
[1200840147,x^4+3*x^3+4*x^2-x],
[1200840147,x^4+4*x^3-3*x^2+x],
[1224440064,3*x^4+13*x^3+7*x^2+x],
[1224440064,3*x^4+3*x^3-x^2-x],
[1249949232,x^4+7*x^3+10*x^2-9*x-3],
[1259712000,10*x^4+11*x^3-26*x^2+13*x-2],
[1275989841,3*x^4+7*x^3-18*x^2+11*x-2],
[1275989841,3*x^4+8*x^3-15*x^2+7*x-1],
[1279887075,x^4+8*x^3+5*x^2+x],
[1279887075,x^4+x^3-x^2-4*x+3],
[1289945088,4*x^4+2*x^3-2*x^2-x],
[1289945088,4*x^4+6*x^3-3*x-1],
[1289945088,4*x^4+8*x^3+3*x^2-x],
[1289945088,x^4+1],
[1300042467,x^4+12*x^3+7*x^2+x],
[1300042467,x^4+2*x^3-3*x^2-x],
[1300042467,x^4+2*x^3+3*x^2+x+1],
[1300042467,x^4+2*x^3-5*x^2+x+1],
[1300042467,x^4+2*x^3+7*x^2+5*x+1],
[1300042467,x^4+2*x^3+x^2-3*x+1],
[1300042467,x^4+30*x^3-11*x^2+x],
[1300042467,x^4+3*x^3-2*x^2-x],
[1300042467,x^4+3*x^3-3*x^2-6*x+5],
[1300042467,x^4+4*x^3+27*x^2-15*x+2],
[1300042467,x^4+7*x^3+6*x^2+x],
[1300042467,x^4+8*x^3+9*x^2-27*x+17],
[1300042467,x^4+9*x^3+15*x^2-24*x+5],
[1300042467,x^4+x^2-x+1],
[1300042467,x^4+x^3+3*x^2+2*x+1],
[1300042467,x^4+x^3+6*x^2+3*x+8],
[1300042467,x^4+x^3+x^2+1],
[1301538375,5*x^4+4*x^3-x^2-x],
[1301538375,5*x^4+7*x^3+4*x^2+x],
[1301538375,5*x^4+8*x^3+5*x^2+x],
[1301538375,5*x^4+9*x^3+3*x^2-2*x-1],
[1330570800,x^4+7*x^3+x^2-10*x+4],
[1413711792,x^4+13*x^3+7*x^2+x],
[1451188224,2*x^4+2*x^3-5*x^2-4*x+2],
[1451188224,2*x^4+4*x^3-5*x^2-2*x+2],
[1451188224,2*x^4-5*x^2+3],
[1451188224,2*x^4+5*x^2+3],
[1456227072,x^4+2*x^3-5*x^2+2*x],
[1456227072,x^4+2*x^3+x^2+1],
[1456227072,x^4+x^2-2*x+1],
[1488526875,x^4+2*x^3-x-1],
[1488526875,x^4+5*x^3-9*x^2+5*x-1],
[1488526875,x^4+x^3-2*x-1],
[1532144403,x^4+2*x^3+5*x^2+x],
[1532144403,x^4+2*x^3-x^2-x+1],
[1532144403,x^4+5*x^3+2*x^2+x],
[1532144403,x^4+9*x^3+10*x^2+3*x],
[1532144403,x^4-x^2-x-1],
[1532144403,x^4+x^3+x^2-1],
[1532144403,x^4+x^3-x^2-2*x+1],
[1574640000,2*x^4-x^2-x],
[1574640000,2*x^4+x^3+2*x^2+x],
[1576391787,x^4+24*x^3-26*x^2+9*x-1],
[1576391787,x^4-2*x^2-x+1],
[1576391787,x^4+3*x^3-6*x^2+4*x-1],
[1576391787,x^4+3*x^3-x^2-3*x-1],
[1576391787,x^4+4*x^2-x],
[1576391787,x^4+4*x^3+4*x^2-15*x+7],
[1576391787,x^4+4*x^3+x],
[1576391787,x^4+8*x^3+10*x^2-7*x+1],
[1576391787,x^4+8*x^3-14*x^2+7*x-1],
[1576391787,x^4-x-1],
[1576391787,x^4+x^3-1],
[1576391787,x^4+x^3-2*x^2+1],
[1576391787,x^4+x^3-3*x^2+3*x-1],
[1576391787,x^4+x^3+4*x^2+4*x+1],
[1598751675,x^4+2*x^3+10*x^2+9*x+20],
[1632586752,x^4+x^3+2*x^2+2*x],
[1632586752,x^4+x^3-4*x^2-2*x+4],
[1640558367,21*x^4+22*x^3+8*x^2+x],
[1660753125,15*x^4+20*x^3+8*x^2+x],
[1660753125,15*x^4+4*x^3-28*x^2-25*x-6],
[1703130624,2*x^4+27*x^3+33*x^2+14*x+2],
[1703130624,2*x^4+2*x^3-3*x^2+x],
[1703130624,2*x^4+2*x^3+3*x^2+x],
[1703130624,2*x^4+2*x^3-5*x^2-3*x+4],
[1703130624,2*x^4+3*x^3-2*x^2+x+6],
[1703130624,2*x^4+x^3-x],
[1802805336,2*x^4+3*x^3+x^2-x],
[1802805336,2*x^4+3*x^3+x^2+x],
[1802805336,2*x^4+47*x^3+61*x^2+27*x+4],
[1819024128,x^4-2*x^2-2*x],
[1819024128,x^4+2*x^3+4*x^2+2*x],
[1819024128,x^4+x^3-2*x^2-4*x+4],
[1836660096,2*x^4+2*x^3+x+1],
[1836660096,2*x^4-3*x^2-x],
[1836660096,2*x^4+9*x^3+6*x^2+x],
[1836660096,2*x^4-x],
[1913187600,3*x^4+3*x^3-4*x^2-x+1],
[1913187600,3*x^4+5*x^3+7*x^2+4*x+2],
[1975228416,2*x^4+x^3+3*x^2+x+1],
[1975228416,2*x^4+x^3+x],
[2015539200,x^4+2*x^3+2],
[2015539200,x^4+2*x^3+4*x^2+2*x+1],
[2015539200,x^4+4*x^3-3*x^2-14*x+12],
[2015539200,x^4+9*x^2+20],
[2028156003,x^4+4*x^3-x^2-x],
[2028156003,x^4+x^3-4*x^2-x],
[2069175375,5*x^4+24*x^3-10*x^2+x],
[2118835584,2*x^4-7*x^2-7*x-2],
[2118835584,2*x^4+x^2-x],
[2118835584,2*x^4+x^3-2*x^2+x],
[2156489163,x^4+11*x^3+20*x^2-44*x+17],
[2156489163,x^4+12*x^3+32*x^2-27*x+5],
[2156489163,x^4+21*x^3+22*x^2+8*x+1],
[2156489163,x^4-2*x^2-3*x-1],
[2156489163,x^4+4*x^3-2*x^2+x],
[2156489163,x^4+4*x^3-8*x^2+5*x-1],
[2156489163,x^4+5*x^3+2*x^2-2*x-1],
[2156489163,x^4+x^3+x^2-3*x+1],
[2156489163,x^4+x^3-x^2-x-1],
[2169538992,x^4+x^3-4*x^2+3*x-1],
[2182628187,x^4+2*x^3+4*x^2+3*x+3],
[2182628187,x^4+x^3-2*x^2+3],
[2208924675,x^4+4*x^3-x^2+x],
[2424965283,x^4+3*x^3+6*x^2+x],
[2424965283,x^4+6*x^3+3*x^2+x],
[2460375000,2*x^4+3*x^3-4*x^2-4*x+3],
[2460375000,2*x^4+3*x^3-x^2-x],
[2508578667,x^4+6*x^3+4*x^2-15*x+6],
[2519424000,5*x^4+8*x^3-9*x^2+2*x],
[2565108243,x^4+5*x^3+2*x^2-x],
[2651083587,x^4+x^2-5*x+3],
[2977309629,7*x^4+14*x^3+8*x^2+x],
[3024568512,4*x^4+x^3-13*x^2-6*x+5],
[3024568512,x^4+x^3-x+1],
[3042361944,2*x^4+3*x^3+1],
[3042361944,2*x^4+x^3-x^2+x],
[3069603216,3*x^4+x^3-3*x^2+x],
[3086294400,2*x^4+2*x^3+x],
[3086294400,2*x^4+4*x^3+2*x^2-x],
[3086294400,2*x^4+4*x^3-3*x^2-5*x+3],
[3086294400,2*x^4+4*x^3+9*x^2+7*x+6],
[3149280000,x^4+2*x^3+3*x^2+2*x+2],
[3149280000,x^4+2*x^3-3*x^2-4*x-1],
[3149280000,x^4+2*x^3-5*x^2+4*x-1],
[3149280000,x^4+2*x^3+x^2+2*x],
[3149280000,x^4-3*x^2+1],
[3149280000,x^4+3*x^2+1],
[3149280000,x^4-x^2-1],
[3149280000,x^4+x^2-1],
[3149280000,x^4+x^3-2*x],
[3212580528,x^4+x^3-5*x^2+x],
[3402639576,2*x^4+x^3+x^2-x],
[3406261248,x^4+5*x^3+x^2+x],
[3406261248,x^4-x^2-2*x],
[3406261248,x^4+x^3+5*x^2+x],
[3406261248,x^4+x^3-x^2-3*x-2],
[3406261248,x^4+x^3-x^2+x+2],
[3449091456,2*x^4+23*x^3-32*x^2+14*x-2],
[3449091456,2*x^4+2*x^3-2*x^2-x],
[3449091456,2*x^4+2*x^3-4*x^2+x],
[3449091456,2*x^4+2*x^3-6*x^2-3*x+5],
[3449091456,2*x^4-4*x^2-x+1],
[3449091456,2*x^4+4*x^3-x],
[3449091456,2*x^4-6*x^2-5*x-1],
[3449091456,2*x^4+7*x^3-6*x+2],
[3449091456,2*x^4+7*x^3+x^2-3*x-1],
[3449091456,2*x^4+8*x^3-6*x^2+x],
[3449091456,2*x^4+9*x^3-15*x^2+7*x-1],
[3456649728,14*x^4+19*x^3+8*x^2+x],
[3486784401,3*x^4+28*x^3+27*x^2+9*x+1],
[3486784401,3*x^4-3*x^2-x],
[3486784401,3*x^4+3*x^3-3*x^2-2*x+1],
[3486784401,3*x^4+3*x^3-3*x^2-4*x-1],
[3486784401,3*x^4+x^3-9*x^2-6*x-1],
[3571421301,7*x^4+10*x^3+5*x^2+x],
[3571421301,7*x^4+11*x^3+18*x^2+15*x+4],
[3571421301,7*x^4+11*x^3+6*x^2+x],
[3571421301,7*x^4+82*x^3-73*x^2+21*x-2],
[3571421301,7*x^4+8*x^3-3*x^2-3*x+1],
[3571421301,7*x^4+x^3-4*x^2+x],
[3605610672,x^4+x^3-3*x^2+2*x],
[3605610672,x^4+x^3+3*x^2+2*x],
[3638048256,2*x^4+2*x^3+x^2-x],
[3638048256,2*x^4+3*x^3+4*x^2+x],
[3638048256,2*x^4+6*x^3-5*x^2+x],
[3673320192,x^4-2*x],
[3673320192,x^4+2*x^3-3*x^2-2*x+2],
[3673320192,x^4+2*x^3+3*x^2-4*x+1],
[3673320192,x^4+2*x^3-6*x^2+4*x-1],
[3673320192,x^4-3*x^2+3],
[3673320192,x^4+3*x^2+3],
[3673320192,x^4+3*x^3-2*x],
[3673320192,x^4+3*x^3-3*x^2-x],
[3673320192,x^4+5*x^3+4*x^2-6*x],
[3758842827,x^4+2*x^3+12*x^2+11*x+30],
[3936600000,20*x^4+25*x^3+9*x^2+x],
[3950456832,x^4+2*x^3-x^2-2*x-1],
[3950456832,x^4+6*x^3-11*x^2+6*x-1],
[3950456832,x^4+x^2-2*x],
[4022476929,3*x^4+2*x^3-x^2-x],
[4022476929,3*x^4+3*x^3+2*x^2+x],
[4022476929,3*x^4+3*x^3-4*x^2+x],
[4022476929,3*x^4+5*x^3+x^2-2*x-1],
[4022476929,3*x^4+6*x^3+5*x^2+x],
[4085718408,6*x^4+11*x^3+10*x^2+5*x+1],
[4085718408,6*x^4+5*x^3-3*x^2-4*x-1],
[4237671168,x^4+2*x^3+x^2-2*x],
[4237671168,x^4+3*x^3+5*x^2-x],
[4237671168,x^4+5*x^3-3*x^2+x],
[4237671168,x^4+x^3+2*x],
[4237671168,x^4+x^3-x^2-3*x+2],
[4286957400,2*x^4+3*x^3-5*x^2-5*x+4],
[4311049392,x^4+x^3-4*x^2-x+3],
[4329492363,x^4+2*x^3-4*x^2-x],
[4353564672,24*x^4+26*x^3+9*x^2+x],
[4353564672,6*x^4+10*x^3+9*x^2+4*x+1],
[4353564672,6*x^4+37*x^3+12*x^2+x],
[4353564672,6*x^4+4*x^3-3*x^2-2*x],
[4353564672,6*x^4+7*x^3-15*x^2+7*x-1],
[4385057472,4*x^4+31*x^3+11*x^2+x],
[4385057472,4*x^4+5*x^3+3*x^2+x],
[4385057472,4*x^4+7*x^3+5*x^2+x],
[4403657907,x^4+2*x^3-5*x^2-x+3],
[4403657907,x^4-5*x^2-x],
[4403657907,x^4+5*x^3-x],
[4403657907,x^4+6*x^3+x^2-23*x+15],
[4403657907,x^4+7*x^3-6*x^2+x],
[4440976875,x^4+2*x^3+2*x^2+x-1],
[4534963200,x^4+11*x^2+30],
[4534963200,x^4+8*x^3+13*x^2-12*x+2],
[4658414976,2*x^4+2*x^2-x],
[4658414976,2*x^4+4*x^3-4*x^2+x],
[4687388352,x^4+9*x^3+10*x^2-13*x+3],
[4745197323,x^4+252*x^3+120*x^2+19*x+1],
[4745197323,x^4+2*x^3+2*x^2-x-1],
[4745197323,x^4+4*x^3-3*x+1],
[4745197323,x^4+51*x^3+59*x^2+23*x+3],
[4745197323,x^4+5*x^3-6*x^2+1],
[4745197323,x^4-5*x+4],
[4745197323,x^4+6*x^2-5*x+1],
[4745197323,x^4+6*x^3-4*x^2+x],
[4745197323,x^4+x^3-2*x^2-2*x-1],
[4745197323,x^4+x^3-3*x^2-x+3],
[4745197323,x^4+x^3-x^2-3*x-1],
[4897760256,3*x^4+12*x^3+5*x^2-4*x-2],
[4897760256,3*x^4+3*x^3-2*x^2-2*x],
[4897760256,3*x^4-5*x^2+2],
[4897760256,3*x^4+5*x^2+2],
[4897760256,3*x^4+5*x^3+8*x^2+5*x+3],
[4920750000,x^4+x^3-3*x^2-2*x],
[4920750000,x^4+x^3+x-1],
[4921675101,7*x^4+12*x^3+6*x^2+x],
[4982259375,5*x^4+10*x^3+4*x^2-x],
[4982259375,5*x^4+2*x^3-8*x^2+3*x],
[5059495467,x^4+2*x^3-2*x^2-3*x-1],
[5059495467,x^4+x^3-x^2+x+1],
[5159780352,x^4-2*x^2+2],
[5159780352,x^4+2*x^2+2],
[5159780352,x^4+4*x^2-4*x+1],
[5208653241,3*x^4+4*x^3+2*x^2+x],
[5239614600,22*x^4+25*x^3+9*x^2+x],
[5425126875,x^4+10*x^3+2*x^2-15*x+6],
[5425126875,x^4+6*x^3+2*x^2-21*x+12],
[5466539907,x^4+25*x^3-10*x^2+x],
[5466539907,x^4+5*x^2-x],
[5466539907,x^4+5*x^3+x],
[5466539907,x^4+6*x^3+x^2-23*x+20],
[5487305472,x^4+2*x^3+5*x^2+4*x+3],
[5748065856,12*x^4+23*x^3+9*x^2+x],
[5748065856,3*x^4+7*x^3-2*x^2-3*x+1],
[5804752896,2*x^4+4*x^3+4*x^2+2*x],
[5804752896,2*x^4-7*x^2+6],
[5804752896,2*x^4+7*x^2+6],
[5824908288,4*x^4+5*x^3-x],
[5824908288,x^4+3*x^3-9*x^2-9*x-2],
[5824908288,x^4+5*x^3+3*x^2-7*x+2],
[5907360375,5*x^4+6*x^3-13*x^2-x+4],
[5907360375,5*x^4+99*x^3-65*x^2+14*x-1],
[5932475883,x^4+2*x^3-2*x^2-3*x+3],
[5932475883,x^4+x^3+7*x^2+9*x+3],
[6084723888,x^4+3*x^3-5*x^2+2*x],
[6172588800,x^4+2*x^2-2*x],
[6172588800,x^4+2*x^3-4*x^2+2*x],
[6198727824,3*x^4+21*x^3+9*x^2+x],
[6198727824,3*x^4+3*x^3+3*x^2+x],
[6238900827,x^4+126*x^3+144*x^2+55*x+7],
[6238900827,x^4+15*x^3+17*x^2+7*x+1],
[6238900827,x^4+2*x^3-4*x^2+3*x-1],
[6238900827,x^4+2*x^3+6*x^2+x],
[6238900827,x^4+2*x^3+x+3],
