[[177147,x^4+2*x^3+2*x^2+x],
[7077062016,2*x^4+56*x^3-15*x^2+x],
[7077062016,2*x^4+x^3-3*x^2+2],
[7274895849,3*x^4+2*x^3-2*x^2-x],
[7274895849,3*x^4+6*x^3+10*x^2+7*x+4],
[7276096512,x^4-3*x^2-4*x-2],
[7276096512,x^4+3*x^3-2*x+4],
[7276096512,x^4+9*x^3+5*x^2+x],
[7276096512,x^4+x^3-2*x^2+2*x],
[7276096512,x^4+x^3-6*x+4],
[7346640384,2*x^4+13*x^3+12*x^2+3*x],
[7346640384,2*x^4+2*x^3-3*x^2-3*x],
[7346640384,2*x^4+2*x^3-3*x^2-5*x-2],
[7346640384,2*x^4+2*x^3+3*x^2+x+1],
[7346640384,2*x^4+3*x^3+x],
[7590571803,x^4+2*x^3+14*x^2+13*x+42],
[7590571803,x^4+2*x^3-6*x^2+x+2],
[7590571803,x^4+6*x^3-6*x^2+x],
[7690699224,2*x^4+x^3-9*x^2+x+6],
[7787401803,x^4+8*x^3+10*x^2-19*x+6],
[7873200000,10*x^4+5*x^3-2*x^2-x],
[7900913664,8*x^4+10*x^3+5*x^2+x],
[8137916667,x^4+10*x^3-6*x^2+x],
[8137916667,x^4+2*x^3-2*x^2-7*x+6],
[8137916667,x^4+2*x^3+x+1],
[8137916667,x^4+3*x^3+13*x^2+7*x+1],
[8137916667,x^4+3*x^3-2*x-1],
[8137916667,x^4+3*x^3-2*x^2-6*x+5],
[8137916667,x^4+6*x^3+4*x^2-5*x+1],
[8137916667,x^4+7*x^3-12*x^2+6*x-1],
[8137916667,x^4+x^3+2*x+1],
[8230958208,6*x^4+10*x^3+10*x^2+7*x+2],
[8257569624,2*x^4+15*x^3-20*x^2+8*x-1],
[8257569624,2*x^4+3*x^3-2*x^2-4*x-1],
[8257569624,2*x^4+9*x^3-19*x^2+11*x-2],
[8257569624,2*x^4+9*x^3+4*x^2-2*x-1],
[8257569624,2*x^4+x^3-3*x^2-x],
[8257569624,2*x^4+x^3-4*x^2-2*x+1],
[8303765625,3*x^4+2*x^3-4*x^2+x],
[8303765625,3*x^4+4*x^3-4*x^2-3*x+2],
[8470303488,x^4+2*x^3-x^2-2*x+2],
[8503056000,30*x^4+28*x^3+9*x^2+x],
[8503056000,30*x^4+37*x^3+15*x^2+2*x],
[8678155968,4*x^4+3*x^3-x^2-x],
[8678155968,4*x^4+7*x^3+2*x^2-2*x-1],
[8680203000,10*x^4+7*x^3-x^2-x],
[8857350000,5*x^4+5*x^3-19*x^2+12*x-2],
[8862093603,x^4+11*x^3+6*x^2+x],
[8862093603,x^4+2*x^3-x^2-7*x+5],
[8888527872,x^4+13*x^2+42],
[8888527872,x^4+8*x^3+11*x^2-20*x+6],
[8888527872,x^4+8*x^3-17*x^2-18*x-4],
[8888527872,x^4+8*x^3+5*x^2-22*x+10],
[8888527872,x^4+9*x^3+17*x^2-16*x-4],
[9101419200,4*x^4+11*x^3-4*x-1],
[9101419200,4*x^4+3*x^3-6*x^2+1],
[9208809648,x^4+x^3-2*x^2+2],
[9298091736,2*x^4+3*x^3-3*x^2+x],
[9316829952,x^4-2*x-1],
[9316829952,x^4-2*x^2-2*x+3],
[9316829952,x^4+2*x^3-1],
[9316829952,x^4+2*x^3+2*x],
[9316829952,x^4+2*x^3-2*x^2-2*x+2],
[9316829952,x^4+3*x^3+7*x^2+x],
[9316829952,x^4+4*x^2-6*x+2],
[9316829952,x^4+7*x^3+3*x^2+x],
[9316829952,x^4+8*x^3-12*x^2+6*x-1],
[9316829952,x^4+96*x^3-80*x^2+22*x-2],
[9374776704,2*x^4+3*x^3+2*x^2-x],
[9374776704,2*x^4+4*x^3+5*x^2+x],
[9507381075,x^4+x^3-x^2-6*x+5],
[9562178547,x^4+11*x^3+24*x^2-35*x+6],
[9562178547,x^4+11*x^3+27*x^2-30*x+7],
[9562178547,x^4+20*x^3+9*x^2+x],
[9562178547,x^4+2*x^3-x^2-x+3],
[9562178547,x^4+3*x^2-x+1],
[9562178547,x^4+3*x^3-4*x^2-x],
[9562178547,x^4+3*x^3-7*x^2+2*x+1],
[9562178547,x^4+42*x^3-13*x^2+x],
[9562178547,x^4+4*x^3-3*x^2-x],
[9562178547,x^4+5*x^3-6*x^2+x],
[9562178547,x^4+5*x^3-x^2-16*x+11],
[9562178547,x^4+6*x^3+5*x^2-x],
[9562178547,x^4+x^3+2*x^2-5*x+2],
[9562178547,x^4+x^3+2*x^2+x+2],
[9562178547,x^4+x^3+3*x^2+1],
[9565938000,15*x^4+27*x^3+20*x^2+7*x+1],
[9685512225,3*x^4+26*x^3-27*x^2+9*x-1],
[9685512225,3*x^4+3*x^3-x],
[9685512225,3*x^4+6*x^3+3*x^2+x],
[9685512225,3*x^4+x^3+9*x^2+6*x+1],
[9795520512,6*x^4+9*x^3+x^2-3*x-1],
[9999593856,2*x^4+4*x^3+11*x^2+9*x+10],
[9999593856,2*x^4+4*x^3-5*x^2-7*x+6],
[9999593856,2*x^4-5*x^2-3*x],
[10267971561,3*x^4+2*x^3+2*x^2+x],
[10319560704,2*x^4+4*x^3+6*x^2+4*x+1],
[10345876875,x^4+10*x^3+24*x^2-5*x],
[10345876875,x^4+2*x^3-2*x^2-3*x+1],
[10345876875,x^4+3*x^3-2*x^2-2*x+1],
[10345876875,x^4+4*x^3-3*x-1],
[10345876875,x^4+4*x^3-6*x^2+x],
[10345876875,x^4+6*x^3+4*x^2-x],
[10345876875,x^4+7*x^3+5*x^2-x-1],
[10345876875,x^4+9*x^3-15*x^2+7*x-1],
[10345876875,x^4+x^3-3*x^2-x+1],
[10400339736,2*x^4+11*x^3+8*x^2-17*x+5],
[10400339736,2*x^4+3*x^3+3*x^2+2*x+1],
[10400339736,2*x^4+3*x^3+4*x^2+3*x+1],
[10400339736,2*x^4+51*x^3-72*x^2+33*x-5],
[10400339736,2*x^4+7*x^3-6*x^2-21*x+19],
[10400339736,2*x^4+x^3-2*x^2-x+1],
[10412307000,10*x^4+13*x^3+2*x^2-3*x-1],
[10412307000,10*x^4+19*x^3+15*x^2+6*x+1],
[10412307000,10*x^4+3*x^3-6*x^2-x+1],
[10416243600,3*x^4+5*x^3-3*x^2-4*x+2],
[10416243600,3*x^4+x^3+6*x^2+x+3],
[10460353203,9*x^4+12*x^3+6*x^2+x],
[10460353203,x^4+2*x^3-3*x^2-x+1],
[10460353203,x^4+3*x^3-3*x],
[10460353203,x^4+3*x^3-6*x^2+x],
[10460353203,x^4+6*x^3+3*x^2-x],
[10460353203,x^4+6*x^3-9*x^2+3*x],
[10508182893,39*x^4+34*x^3+10*x^2+x],
[10517827563,x^4+11*x^3-19*x^2+9*x-1],
[10517827563,x^4+2*x^2-7*x+4],
[10517827563,x^4-2*x^2-x-1],
[10517827563,x^4+3*x^3+2*x^2-4*x+1],
[10517827563,x^4-4*x^2-x+3],
[10517827563,x^4+5*x^3-2*x^2-4*x-1],
[10517827563,x^4+x^3+2*x^2-1],
[10517827563,x^4+x^3-4*x^2+4*x-1],
[10575459387,x^4+2*x^3-6*x^2+x],
[10575459387,x^4+6*x^3+2*x^2-x],
[10802030400,7*x^4+x^3-12*x^2+7*x-1],
[11019960576,3*x^4+6*x^3+7*x^2+4*x+1],
[11101231683,x^4+11*x^3+13*x^2+6*x+1],
[11101231683,x^4+2*x^3+x^2+x-1],
[11101231683,x^4-3*x^2-x+2],
[11101231683,x^4+3*x^3-3*x^2-4*x-1],
[11101231683,x^4+6*x^3+x^2+x],
[11101231683,x^4+x^3+3*x^2-4*x+1],
[11101231683,x^4+x^3+6*x^2+x],
[11101231683,x^4+x^3-x^2+2*x-1],
[11398838643,x^4+15*x^2-11*x+2],
[11398838643,x^4+15*x^3-8*x^2+x],
[11398838643,x^4+3*x^2-x+2],
[11398838643,x^4+3*x^3-5*x^2-2*x+3],
[11398838643,x^4+4*x^3-3*x^2-11*x+9],
[11398838643,x^4+5*x^3+3*x^2-12*x+5],
[11398838643,x^4+5*x^3+3*x^2-4*x-3],
[11398838643,x^4+6*x^3+x^2-x],
[11398838643,x^4+x^3+5*x^2+2*x+5],
[11398838643,x^4+x^3+x^2-2*x+1],
[11483908569,3*x^4-2*x^2-x],
[11609505792,4*x^4+8*x^3+11*x^2+7*x+3],
[11640683664,3*x^4+35*x^3-42*x^2+16*x-2],
[11640683664,3*x^4+7*x^3-9*x^2-x+2],
[11640683664,3*x^4+x^3-6*x^2-x+3],
[12067430787,x^4+17*x^3+8*x^2+x],
[12067430787,x^4+2*x^3+3*x^2+x-1],
[12067430787,x^4-3*x^2-x+3],
[12067430787,x^4+3*x^3+6*x^2-x],
[12067430787,x^4+3*x^3+x^2+1],
[12067430787,x^4+4*x^3-x^2-13*x+9],
[12067430787,x^4+6*x^3-3*x^2+x],
[12067430787,x^4+x^2-3*x+1],
[12067430787,x^4+x^3-3*x^2+2*x-1],
[12129156675,x^4+5*x^3-2*x^2-x],
[12222040752,x^4+3*x^3-4*x+2],
[12222040752,x^4+3*x^3-6*x^2+2],
[12222040752,x^4+x^3+2*x^2+2*x+2],
[12257155224,2*x^4+x^3+2*x^2+3*x+1],
[12257155224,2*x^4+x^3-5*x^2+4*x-1],
[12346437312,x^4+x^3+5*x^2+2*x+6],
[12597120000,x^4+13*x^3-7*x^2+x],
[12597120000,x^4+3*x^3-2*x^2-10*x+8],
[12597120000,x^4+x^2-4*x+2],
[12597120000,x^4+x^3+2*x^2-2*x],
[12790013400,2*x^4+7*x^3-x^2-9*x+4],
[13060694016,2*x^4+5*x^3-x^2-3*x+1],
[13060694016,8*x^4+14*x^3+7*x^2+x],
[13070456784,7*x^4+9*x^3+5*x^2+x],
[13106043648,x^4+2*x^3+2*x^2-2*x],
[13106043648,x^4+5*x^3+2*x^2-10*x+4],
[13124466936,42*x^4+65*x^3+38*x^2+10*x+1],
[13286025000,30*x^4+55*x^3+36*x^2+10*x+1],
[13604889600,12*x^4+2*x^3-5*x^2+x],
[13625044992,4*x^4+3*x^3-5*x^2-2*x+2],
[13625044992,4*x^4+5*x^3-3*x^2-6*x-2],
[13625044992,x^4+2*x^3-4*x+2],
[13671319725,7*x^4+50*x^3+14*x^2+x],
[13789299627,9*x^4+13*x^3+6*x^2+x],
[13789299627,9*x^4+14*x^3+7*x^2+x],
[13789299627,x^4+12*x^3+36*x^2+x],
[13789299627,x^4+2*x^3+16*x^2+15*x+56],
[13789299627,x^4+2*x^3+6*x^2+5*x+7],
[13789299627,x^4+36*x^3+12*x^2+x],
[13789299627,x^4+3*x^3-6*x+3],
[13789299627,x^4-6*x^2-x],
[13789299627,x^4+6*x^3-x],
[13858780617,11*x^4+16*x^3+7*x^2+x],
[14020909488,x^4+3*x^3+x^2+2*x],
[14154124032,x^4+13*x^3+35*x^2-47*x+14],
[14154124032,x^4+2*x^3+5*x^2+2*x],
[14154124032,x^4+2*x^3-x^2+1],
[14154124032,x^4+4*x^3+x^2-2*x-1],
[14154124032,x^4+6*x^3-7*x^2+2*x],
[14154124032,x^4+9*x^3+8*x^2+2*x],
[14154124032,x^4-x^2-2*x+1],
[14154124032,x^4+x^3+4*x^2+2*x],
[14171760000,2*x^4+2*x^3+4*x^2+x],
[14422442688,4*x^4+3*x^3-10*x^2-4*x+7],
[14422442688,4*x^4+5*x^3-5*x^2+x],
[14468481225,3*x^4+6*x^3-2*x^2-5*x+2],
[14659288227,x^4+7*x^3-4*x^2+x],
[14693280768,4*x^4+6*x^3+3*x^2+x],
[14693280768,x^4+21*x^3+9*x^2+x],
[14693280768,x^4+3*x^2-2*x],
[14693280768,x^4+3*x^3-6*x^2+2*x],
[14693280768,x^4+7*x^3+9*x^2-9*x+12],
[14693280768,x^4+x^3+3*x^2+5*x+2],
[14840824536,2*x^4+15*x^3-28*x^2+16*x-3],
[14840824536,2*x^4+3*x^3-x^2+x],
[14840824536,2*x^4+x^3-4*x^2-2*x+3],
[14999390784,12*x^4+21*x^3+16*x^2+6*x+1],
[14999390784,12*x^4+9*x^3-7*x^2+x],
[15305500800,6*x^4+12*x^3+13*x^2+7*x+2],
[15305500800,6*x^4+12*x^3+5*x^2-x],
[15625959723,x^4+12*x^3+36*x^2-x],
[15625959723,x^4+2*x^3+4*x^2+3*x],
[15625959723,x^4+36*x^3-12*x^2+x],
[15625959723,x^4+6*x^2-x],
[15625959723,x^4+6*x^3+x],
[15661054512,x^4+x^3+2*x^2-3*x+1],
[15661054512,x^4+x^3-x^2+2],
[15722150544,3*x^4+x^3-x^2-x],
[15723725184,2*x^4+12*x^3+7*x^2+x],
[15723725184,2*x^4+13*x^3-23*x^2+12*x-2],
[15723725184,2*x^4+3*x^3-2*x^2-x],
[15723725184,2*x^4+4*x^3-5*x^2+x],
[15723725184,2*x^4+4*x^3-x^2-x],
[15723725184,2*x^4-5*x^2-x+2],
[15723725184,2*x^4+5*x^3-4*x^2-7*x-2],
[15723725184,2*x^4+72*x^3-17*x^2+x],
[15723725184,2*x^4+x^3-5*x^2+2],
[15801827328,4*x^4+4*x^3+3*x^2+x],
[15801827328,4*x^4+6*x^3+6*x^2+3*x+1],
[15801827328,x^4+15*x^2+56],
[15801827328,x^4+8*x^3+9*x^2-28*x+12],
[15943230000,x^4+x^3+2*x^2-x+1],
[16124313600,2*x^4-2*x+1],
[16124313600,2*x^4-4*x^2-2*x],
[16124313600,2*x^4+4*x^3-15*x^2-14*x-3],
[16124313600,2*x^4+4*x^3-2*x],
[16124313600,2*x^4+4*x^3+4*x^2+2*x+1],
[16124313600,2*x^4-9*x^2+10],
[16124313600,2*x^4+9*x^2+10],
[16209796869,7*x^4+14*x^3+7*x^2+x],
[16209796869,7*x^4+7*x^3-x],
[16275380625,3*x^4+2*x^3+x^2+x],
[16275380625,3*x^4+5*x^3+3*x^2+2*x+1],
[16461916416,3*x^4+17*x^3-12*x^2+2*x],
[16461916416,3*x^4+22*x^3+22*x^2+8*x+1],
[16515139248,x^4+3*x^3-x^2-2*x],
[16515139248,x^4+5*x^3-7*x^2+2*x],
[16515139248,x^4+x^3-5*x^2+2*x],
[16529940864,2*x^4+3*x^2-x],
[16529940864,2*x^4+9*x^3-6*x^2+x],
[16940606976,2*x^4+10*x^3-9*x^2-5*x+4],
[16940606976,2*x^4+9*x^3+6*x^2-9*x+2],
[16949523375,5*x^4+2*x^3-4*x^2+x],
[16949523375,5*x^4+6*x^3+4*x^2+x],
[16950684672,4*x^4+5*x^3+4*x^2+x],
[17006112000,15*x^4+17*x^3+7*x^2+x],
[17060456763,x^4+2*x^3+6*x^2-x],
[17060456763,x^4+6*x^3-2*x^2+x],
[17244197568,4*x^4+11*x^3-7*x^2+x],
[17244197568,4*x^4+7*x^3+10*x^2+6*x+3],
[17251913304,2*x^4+87*x^3-124*x^2+58*x-9],
[17356311936,2*x^4+3*x^3-2*x^2+x],
[17356311936,2*x^4+3*x^3+4*x^2-7*x+2],
[17356311936,2*x^4+x^3-5*x^2-2*x+4],
[17461025496,2*x^4+15*x^3+13*x^2+3*x],
[17461025496,2*x^4+9*x^3-11*x^2+3*x],
[17540229888,x^4+2*x^3-x^2+2*x],
[17540229888,x^4+x^3-2*x^2+x-1],
[17540229888,x^4+x^3+2*x^2+x-1],
[17683699275,33*x^4+32*x^3+10*x^2+x],
[18026655867,x^4+10*x^3+22*x^2-15*x+2],
[18095920344,2*x^4+31*x^3-44*x^2+20*x-3],
[18095920344,2*x^4+7*x^3+4*x^2-10*x+3],
[18102081123,x^4+6*x^3-x^2+x],
[18102081123,x^4+x^3+6*x^2-x],
[18596183472,x^4+7*x^3+9*x^2-11*x+4],
[18596183472,x^4+x^3-2*x-2],
[18596183472,x^4+x^3+3*x+3],
[18622578375,5*x^4+6*x^3-5*x^2-9*x-3],
[18749553408,x^4+18*x^3-21*x^2+8*x-1],
[18749553408,x^4+2*x^3+3*x^2-1],
[18749553408,x^4+2*x^3-3*x^2+2*x],
[18749553408,x^4-3*x^2-2*x-1],
[18749553408,x^4-3*x^2-4*x-1],
[18749553408,x^4+5*x^3+3*x^2-7*x+6],
[18749553408,x^4+5*x^3+4*x^2+2*x],
[18942151563,x^4+5*x^3+5*x^2-5*x+1],
[18964314621,7*x^4+12*x^3+4*x^2-x],
[18964314621,7*x^4+48*x^3-14*x^2+x],
[18983603961,3*x^4+3*x^3+3*x^2+3*x+1],
[18983603961,3*x^4+6*x^3+6*x^2+3*x+1],
[19019466387,x^4+2*x^3+7*x^2+x],
[19019466387,x^4+7*x^3+2*x^2+x],
[19096938675,x^4+10*x^3-7*x^2+x],
[19096938675,x^4+15*x^3+8*x^2+x],
[19096938675,x^4+2*x^3+5*x^2+3*x+1],
[19096938675,x^4+3*x^3-5*x^2-4*x+5],
[19096938675,x^4+4*x^3-3*x^2-9*x+7],
[19096938675,x^4+6*x^3-x^2-x],
[19096938675,x^4+x^3+2*x^2+3*x+2],
[19096938675,x^4+x^3+3*x^2+2*x+3],
[19096938675,x^4+x^3-6*x^2-x],
[19399722264,18*x^4+23*x^3+9*x^2+x],
[19591041024,3*x^4-7*x^2+4],
[19591041024,3*x^4+7*x^2+4],
[19659065472,6*x^4+7*x^3-6*x^2+x],
[19683000000,4*x^4+3*x^3-8*x^2-10*x-3],
[19956357504,2*x^4+20*x^3-9*x^2+x],
[19956357504,2*x^4+3*x^3+3*x^2+4*x+2],
[19956357504,2*x^4+4*x^3+3*x^2-x],
[19959526467,x^4+3*x^3-x^2-10*x+7],
[19999187712,x^4+3*x^3-7*x^2+3*x],
[19999187712,x^4+4*x^3+x^2-6*x+3],
[19999187712,x^4+5*x^2+7],
[20068629336,2*x^4+7*x^3-5*x^2-9*x+6],
[20317894848,x^4+x^3+4*x^2+3*x+1],
[20407334400,8*x^4+5*x^3-16*x^2-18*x-5],
[20520865944,2*x^4+13*x^3+13*x^2-24*x+7],
[20520865944,2*x^4+75*x^3+101*x^2+46*x+7],
[20639121408,x^4-2*x^2-1],
[20639121408,x^4+2*x^2-1],
[20841167403,x^4+2*x^2-x+2],
[20863350144,2*x^4+15*x^3-24*x^2+12*x-2],
[20863350144,2*x^4-4*x^2-x+3],
[20863350144,2*x^4+4*x^3+x],
[20863350144,2*x^4+x^3+8*x^2+8*x+2],
[21045595041,3*x^4+17*x^3+8*x^2+x],
[21045595041,3*x^4+4*x^3+x^2-x],
[21045595041,3*x^4+5*x^3+2*x^2+x],
[21257640000,3*x^4+5*x^3-11*x^2-10*x-2],
[21257640000,3*x^4+5*x^3-4*x^2-5*x+3],
[21289132800,x^4+2*x^3-3*x^2-4*x+3],
[21289132800,x^4+2*x^3+3*x^2-6*x+2],
[21289132800,x^4+2*x^3+5*x^2+4*x+5],
[21289132800,x^4+4*x^3+3*x^2-4*x+1],
[21289132800,x^4+4*x^3-3*x^2-8*x-3],
[21289132800,x^4+4*x^3+x^2-4*x+1],
[21824687547,x^4+2*x^3-2*x^2-3*x],
[21949221888,4*x^4+5*x^3-x^2-2*x],
[21949221888,x^4+7*x^3+7*x^2-9*x+2],
[22039921152,6*x^4+10*x^3+5*x^2+x],
[22039921152,6*x^4+7*x^3+4*x^2+x],
[22116448656,3*x^4+3*x^3-4*x^2-6*x-2],
[22116448656,3*x^4+x^3+x^2+x],
[22674816000,5*x^4+7*x^3+x^2-x],
[22788505008,x^4+3*x^3-5*x^2-x],
[22788505008,x^4+5*x^3-3*x^2-x],
[22788505008,x^4+9*x^3+18*x^2-10*x+2],
[22788505008,x^4+x^3+3*x^2+3*x+2],
[23171319675,x^4+2*x^3+18*x^2+17*x+72],
[23299633152,x^4+2*x^3+5*x^2+4*x+2],
[23299633152,x^4+4*x^3+x^2-2*x],
[23660284761,3*x^4+2*x^3-x],
[23773147083,x^4+17*x^3+67*x^2-45*x+7],
[23773147083,x^4+3*x^3+x^2+x+1],
[23773147083,x^4-4*x^2-3*x-1],
[23773147083,x^4+x^3+x^2+3*x+1],
[24114135375,5*x^4+8*x^3+4*x^2+x],
[24120512667,x^4+23*x^3-33*x^2+13*x-1],
[24120512667,x^4+2*x^3+x-1],
[24120512667,x^4+5*x^3+3*x^2-9*x+3],
[24120512667,x^4+9*x^3-8*x-3],
[24120512667,x^4+x^3+2*x-1],
[24196548096,2*x^4+2*x^3+3*x^2+3*x+1],
[24196548096,2*x^4+2*x^3-3*x^2-x],
[24196548096,2*x^4+5*x^3-x],
[24556825728,6*x^4+10*x^3+6*x^2+x],
[24556825728,6*x^4+32*x^3+28*x^2+9*x+1],
[24556825728,6*x^4+40*x^3+52*x^2-49*x+9],
[24556825728,6*x^4+8*x^3+4*x^2+x],
[24556825728,6*x^4+x^3-7*x^2-5*x-1],
[24692874624,2*x^4+12*x^3+5*x^2-9*x+2],
[24692874624,2*x^4+4*x^3+13*x^2+11*x+15],
[24692874624,2*x^4+4*x^3-7*x^2-9*x+10],
[24692874624,2*x^4+7*x^3-x^2-12*x+6],
[24794911296,3*x^4+5*x^3+6*x^2+3*x+1],
[24908285376,52*x^4+41*x^3+11*x^2+x],
[24911296875,x^4+24*x^3+26*x^2+9*x+1],
[24911296875,x^4+3*x^3-x^2-3*x+1],
[24911296875,x^4-4*x^2-x+2],
[24911296875,x^4+4*x^3-4*x^2-x+1],
[24911296875,x^4+8*x^3+8*x^2+x],
[24999949107,x^4+10*x^3+5*x^2+x],
[24999949107,x^4+11*x^3-19*x^2+8*x-1],
[24999949107,x^4+2*x^3-x^2-x-1],
[24999949107,x^4+x^3+x^2-8*x+5],
[25088758803,x^4+3*x^2-3*x+1],
[25088758803,x^4+x^3+x+2],
[25176348153,11*x^4+13*x^3+6*x^2+x],
[25176348153,11*x^4+14*x^3+3*x^2-x],
[25176348153,11*x^4+19*x^3+8*x^2+x],
[25194240000,2*x^4+2*x^3+3*x^2+2*x+1],
[25194240000,2*x^4+2*x^3-x^2-2*x-1],
[25194240000,2*x^4+3*x^3+3*x^2+3*x+1],
[25207309512,6*x^4+5*x^3+6*x^2+2*x+1],
[25509168000,10*x^4+19*x^3+11*x^2+2*x],
[25700644224,2*x^4-4*x^2-x],
[25956109881,3*x^4+14*x^3-7*x-2],
[26121388032,x^4+10*x^3+19*x^2-24*x+6],
[26121388032,x^4+17*x^2+72],
[26121388032,x^4+8*x^3+7*x^2-36*x+20],
[26303101488,x^4+11*x^3-16*x^2+7*x-1],
[26303101488,x^4+x^3-2*x^2+x+1],
[26485444800,x^4+15*x^3+4*x^2-23*x+9],
[26572050000,15*x^4+25*x^3+13*x^2+2*x],
[26598976344,2*x^4+5*x^3+x^2+x],
[27174841875,x^4+3*x^3+8*x^2+x],
[27174841875,x^4+8*x^3+3*x^2+x],
[27221116608,x^4+x^3-2*x^2+3*x-1],
[27221116608,x^4+x^3-x^2-2*x-2],
[27250089984,2*x^4+3*x^3+x^2-x-1],
[27250089984,2*x^4+4*x^3+5*x^2+2*x],
[27250089984,2*x^4-5*x^2-4*x-1],
[27250089984,2*x^4+5*x^3-4*x^2+x],
[27250089984,2*x^4+x^3-x^2+x+1],
[27644537304,2*x^4+x^3+3*x^2-x],
[27779483952,9*x^4+97*x^3+239*x^2-121*x+14],
[27779483952,x^4+x^3+6*x^2+3*x+9],
[27869297481,3*x^4+2*x^3+4*x^2+x+1],
[27869297481,3*x^4+5*x^3+5*x^2+3*x+1],
[27869297481,3*x^4+5*x^3+6*x^2+4*x+1],
[27869297481,3*x^4+5*x^3-x^2-3*x+1],
[27894275208,6*x^4+3*x^3-6*x^2-5*x-1],
[27966866112,x^4+11*x^3+27*x^2-18*x+2],
[27966866112,x^4+x^3-2*x^2-x-1],
[27966866112,x^4+x^3+2*x^2-x-1],
[28168833375,5*x^4+2*x^3-2*x^2-x],
[28201979547,x^4+2*x^3-4*x^2-5*x+7],
[28201979547,x^4+3*x^3+8*x^2-6*x+1],
[28308248064,2*x^4+2*x^3-x^2+x+2],
[28343520000,x^4+4*x^3+2*x^2+2*x],
[28358223201,3*x^4+3*x^3-x^2+1],
[28358223201,3*x^4-x^2-x],
[28358223201,3*x^4+x^3+2*x^2+x],
[28571370408,14*x^4+27*x^3+20*x^2+7*x+1],
[28571370408,14*x^4+5*x^3-9*x^2-6*x-1],
[28844885376,2*x^4+11*x^3+6*x^2+x],
[29056536675,9*x^4+18*x^3+10*x^2+x],
[29056536675,x^4-3*x^2-3*x],
[29056536675,x^4+x^3+3*x^2+4*x+1],
[29288776392,6*x^4+41*x^3+34*x^2+10*x+1],
[29295685125,15*x^4+2*x^3-4*x^2-x],
[29344223403,x^4+10*x^3+20*x^2-25*x+6],
[29386561536,2*x^4+11*x^3-12*x^2+3*x],
[29386561536,2*x^4+2*x^3-3*x^2-2*x+1],
[29386561536,2*x^4+3*x^3-6*x^2+2*x],
[29681649072,x^4+11*x^3+9*x^2+2*x],
[29681649072,x^4+3*x^3+7*x^2-x],
[29681649072,x^4+7*x^3-3*x^2+x],
[29681649072,x^4+x^3+3*x^2-2*x],
[29681649072,x^4+x^3-8*x+6],
[29730010203,x^4+2*x^3+4*x^2+x+1],
[29730010203,x^4+2*x^3-6*x^2-x],
[29730010203,x^4+6*x^3-2*x^2-x],
[29730010203,x^4+x^3+3*x^2+x+3],
[29933276544,2*x^4+4*x^3-3*x^2+x],
[30356441361,3*x^4+2*x^3-3*x^2+x],
[30356441361,3*x^4+2*x^3+3*x^2+x],
[30356441361,3*x^4+4*x^3-9*x^2-7*x+9],
[30356441361,3*x^4+62*x^3-69*x^2+25*x-3],
[30356441361,3*x^4+7*x^3-13*x+6],
[30356441361,3*x^4+x^3-9*x^2-10*x-3],
[30356441361,3*x^4+x^3-x],
[30485030400,2*x^4+2*x^3+x^2+3*x+2],
[30485030400,2*x^4+30*x^3-11*x^2+x],
[30485030400,2*x^4+3*x^3+x^2+2*x+2],
[30611001600,3*x^4-5*x^2-4*x-1],
[30611001600,3*x^4+6*x^3+5*x^2+2*x],
[30803914683,x^4+2*x^3+2*x^2-x-2],
[31001217075,x^4+11*x^3+9*x^2-1],
[31001217075,x^4+3*x^3+x^2-1],
[31001217075,x^4+4*x^3-3*x^2-3*x+2],
[31001217075,x^4+4*x^3+9*x^2+x],
[31001217075,x^4-x^2-3*x-1],
[31001217075,x^4+x^3-3*x^2+5],
[31100104467,x^4+2*x^3+5*x^2+3*x+3],
[31100104467,x^4+6*x^3+5*x^2-3*x-3],
[31100104467,x^4+7*x^3+2*x^2-x],
[31100104467,x^4-x^2-x+2],
[31100104467,x^4+x^3+5*x^2+4*x+1],
[31181808600,2*x^4+9*x^3-12*x+5],
[31381059609,3*x^4-x],
[31447450368,x^4+10*x^3+9*x^2+2*x],
[31447450368,x^4+15*x^3+48*x^2-62*x+16],
[31447450368,x^4+2*x^3+3*x^2+1],
[31447450368,x^4+2*x^3-3*x^2-2*x],
[31447450368,x^4+3*x^2-2*x+1],
[31447450368,x^4+3*x^3-3*x^2-5*x+4],
[31447450368,x^4+3*x^3-6*x^2-2*x+4],
[31447450368,x^4+5*x^3+2*x^2-6*x-4],
[31447450368,x^4+7*x^3-8*x^2+2*x],
[31447450368,x^4+8*x^3+13*x^2-10*x+11],
[31447450368,x^4+9*x^3-7*x^2+x],
[31447450368,x^4+x^3-4*x^2-2*x],
[31447450368,x^4+x^3-5*x^2+x+2],
[31492800000,10*x^4+10*x^3-3*x^2-5*x-1],
[31492800000,40*x^4+9*x^3-74*x^2-64*x-15],
[32028335064,2*x^4+3*x^3+5*x^2+x],
[32179815432,6*x^4+19*x^3-43*x^2+26*x-5],
[32179815432,6*x^4+3*x^3-11*x^2+6*x-1],
[32248627200,x^4+4*x^2+5],
[32248627200,x^4+4*x^3+2*x^2-4*x+2],
[32422683969,3*x^4+4*x^3+x^2+x+1],
[32422683969,3*x^4+x^3+x],
[33059881728,x^4+2*x^3-3*x^2-6*x+6],
[33059881728,x^4+3*x^3+2*x],
